Time,Vehicle,Driver,Date,Year,Engine Size (L),HP,Torque (Nm),0-100,Price (EUR)
7:29.57,"BMW M5 CS (F90, 2021)",Christian Gebhardt,2021-06-02,2022,3.0,444.0,550.0,3.8,71905.75
7:29.60,Chevrolet Camaro ZL1 (2017),Drew Cattell,2016-10-24,2021,6.2,650.0,881.0,3.5,54990.75
7:29.81,"Porsche Panamera Turbo S (971.2, 2020)",Lars Kern,2020-07-24,2022,4.0,620.0,819.0,2.9,159545.0
7:29.90,Chevrolet Corvette (C8) (2020),Oliver Gavin,2019-07,2021,6.2,490.0,630.0,2.8,50915.0
7:30.0,Mercedes-Benz SLS AMG GT (2012),,2012,2015,6.2,622.0,635.0,3.2,188700.0
7:30.79,"BMW M4 Competition (G82, 2021, 3.0 TT, 510 PS)",Christian Gebhardt,2021-04-15,2021,3.0,503.0,649.0,3.9,64340.75
7:31,"Porsche 911 GT2 (997, 2007)",Walter Röhrl,2007,2022,3.0,379.0,449.0,4.0,86020.0
7:32,"Porsche 911 GT3 (991.1, pre-facelift, 2013, N/A 3.8, 475 PS)",Horst von Saurma,2013-11,2022,3.0,379.0,449.0,4.0,86020.0
7:32,Alfa Romeo Giulia Quadrifoglio (2015),Fabio Francia,2016-09,2022,2.9,505.0,601.0,3.8,66300.0
7:32,"Porsche Cayman GT4 (718, 2020, N/A 4.0, 420 PS)",Christian Gebhardt,2020,2022,4.0,414.0,419.0,3.8,85170.0
7:32.79,"BMW M8 Coupe Competition (F92, 2020, 625 PS)",Christian Gebhardt,2020-06-09,2022,3.0,405.0,550.0,4.0,50910.75
7:33,"Porsche 911 GT2 (997.1, pre-facelift, 2007, 3.6 TT, 530 PS)",Horst von Saurma,2007,2022,3.0,379.0,449.0,4.0,86020.0
7:33.35,Porsche Taycan Turbo S (2023),Lars Kern,2022-04-11,2021,,750.0,1049.0,2.6,157250.0
7:33.906,"BMW M2 (G87, 2023, 3.0 TT, 460 PS)",Jörg Weidinger [de],2023-08-30,2022,3.0,405.0,550.0,4.0,50065.0
7:34,"Audi R8 GT (Mk1, Typ 42, 2010)",Horst von Saurma,2010-12,2022,5.2,562.0,550.0,3.2,121295.0
7:34,"Porsche 911 Turbo S (991.1, pre-facelift, 2014, 3.8 TT, 560 PS)",Horst von Saurma,2014-02,2022,3.8,640.0,800.0,2.6,176800.0
7:35,McLaren 650S Spider,Horst von Saurma,2015,2020,3.8,562.0,601.0,3.1,177480.0
7:35,"Mercedes-AMG GT S (pre-facelift, 2015, 510 PS)",Horst von Saurma,2015,2021,4.0,630.0,900.0,3.1,137700.0
7:35,Mercedes-Benz SLS AMG Black Series,Horst von Saurma,2013,2014,6.2,622.0,635.0,3.5,233750.0
7:35.522,"Audi RS3 (Typ 8Y, 2021, 2.5 T, 400 PS)",Frank Stippler,2021-06-14,2022,2.5,394.0,500.0,3.9,48450.0
7:35.579,Tesla Model S Plaid,Andreas Simonsen,2021-09-09,2021,,1020.0,1424.0,1.98,111511.5
7:35.90,"BMW M5 Competition (F90, 2019, 625 PS)",Christian Gebhardt,2019-04-17,2022,4.4,617.0,750.0,3.1,87975.0
7:36,"Mercedes-AMG GT S (pre-facelift, 2016, 510 PS)",Christian Gebhardt,2016,2021,4.0,630.0,900.0,3.1,137700.0
7:37.4,Chevrolet Camaro Z/28 (2014),Adam Dean,2013-10,2021,6.2,650.0,881.0,3.5,54990.75
7:37.66,"Audi RS3 (Typ 8Y, 2022, 2.5 T, 400 PS)",Christian Gebhardt,2022,2022,2.5,394.0,500.0,3.9,48450.0
7:38,"Porsche 911 Turbo (997.1, pre-facelift, 2008, 3.6 TT, 480 PS)",,2008-09,2022,3.8,640.0,800.0,2.6,176800.0
7:38,Chevrolet Corvette C6 ZR1,Horst von Saurma,2009-10,2023,5.5,625.0,881.0,2.6,72250.0
7:38,"Porsche Panamera Turbo (971, 2017, 4.0 TT, 550 PS)",,2016,2022,4.0,620.0,819.0,3.1,148155.0
7:38.92,BMW M5 (F90),Christian Gebhardt,2018-04-12,2022,4.4,600.0,750.0,3.2,87975.0
7:40,Porsche 911 GT3 (997.2),Horst von Saurma,2009,2022,3.0,379.0,449.0,4.0,86020.0
7:40,Mercedes-Benz SLS AMG,Horst von Saurma,2010,2015,6.2,622.0,635.0,3.2,188700.0
7:40.89,"Audi R8 GT (Mk1, Typ 42, 2010)",Sascha Bert,2011-09,2022,5.2,562.0,550.0,3.2,121295.0
7:41.23,"Porsche 911 Turbo S (997.2, facelift, 2010, 3.8 TT, 530 PS)",Sascha Bert,2010-11,2022,3.8,640.0,800.0,2.6,176800.0
7:41.27,Chevrolet Camaro ZL1 (2012),Aaron Link,2011-10,2021,6.2,650.0,881.0,3.5,54990.75
7:41.50,Chevrolet Corvette C6 ZR1,Sascha Bert,2009-08,2023,5.5,625.0,881.0,2.6,72250.0
7:42,"BMW M4 CS (F82, 2017, 3.0 TT, 460 PS)",Christian Gebhardt,2017,2022,3.0,444.0,550.0,3.8,71905.75
7:42,"Porsche 911 GT3 (997.1, pre-facelift, N/A 3.6, 415 PS)",Walter Röhrl,2006,2022,3.0,379.0,449.0,4.0,86020.0
7:42.34,Porsche Taycan Turbo,Lars Kern,2019-08,2021,,750.0,1049.0,2.6,157250.0
7:42.39,"Porsche Cayman GT4 (981, 2015, N/A 3.8, 385 PS)",Christian Gebhardt,2015-04,2022,4.0,414.0,419.0,3.8,85170.0
7:42.659,"Alpine A110S (2022, 1.8 T, 300 PS)",Christian Gebhardt,2022-10,2021,1.8,288.0,320.0,4.4,60775.0
7:42.99,"BMW M2 CS (F87, 2020)",Christian Gebhardt,2020-08-12,2022,3.0,444.0,550.0,3.8,71905.75
7:43.92,Aston Martin V8 Vantage (2019),Christian Gebhardt,2019-08-14,2021,4.0,503.0,685.0,3.5,120785.0
7:44,"Porsche 911 Turbo S (997.2, facelift, 2011, 3.8 TT, 530 PS)",Horst von Saurma,2011,2022,3.8,640.0,800.0,2.6,176800.0
7:44.13,"Mercedes-AMG C63 S Coupe (W205, facelift, 2019, 4.0 BT, 510 PS)",Christian Gebhardt,2019,2021,4.0,503.0,700.0,3.7,66257.5
7:44.42,Mercedes-Benz SLS AMG,Sascha Bert,2010-11,2015,6.2,622.0,635.0,3.2,188700.0
7:45,Mercedes-Benz CLK63 AMG Black Series,Bernd Schneider,2007-05-01,2021,4.0,720.0,800.0,3.2,277142.5
7:46,Mercedes-Benz C63 AMG Coupe Black Series,Horst von Saurma,2011,2021,4.0,720.0,800.0,3.2,277142.5
7:46,"Porsche 911 GT2 (996.1, 2001, 462 PS)",Horst von Saurma,2001,2022,3.0,379.0,449.0,4.0,86020.0
7:46.70,Porsche 718 Cayman S (982),Christian Gebhardt,2016-09,2022,2.0,300.0,380.0,4.5,51850.0
